timestamp,caller,callee,duration,imei,imsi,cell_id
2026-09-13 14:20:00,+91 98765 00099,09876500001,285,864928049182741,404450192837461,DELHI_TWR_401
13/09/2026 14:28:00,9876500002,9876500099,45,864928049182741,404450837465812,DELHI_TWR_401
2026-09-13 14:32:00,9876500002,9876500003,60,864928049182741,404450837465812,DELHI_TWR_405
2026-09-13 14:36:00,9876500003,9876500004,30,NULL,404450918273645,MUMBAI_TWR_102
2026-09-13 16:37:00,9876573788,9876530289,102,864928041981186,404450721890096,TWR_853
2026-09-13 15:07:00,9876517989,9876551104,34,,404450611947770,TWR_614
2026-09-13 18:20:00,9876579615,9876530635,34,864928042344047,404450299528037,TWR_170
2026-09-13 15:34:00,9876518907,9876598501,125,864928045130808,404450721609600,TWR_708
2026-09-13 10:50:00,9876591183,9876520745,219,864928049770838,404450439699535,TWR_367
2026-09-13 12:14:00,9876597782,9876551180,127,864928043195773,404450821221887,TWR_760
2026-09-13 13:03:00,9876569929,9876551441,42,,404450766964667,TWR_676
2026-09-13 11:21:00,9876519602,9876580468,114,864928043222252,404450474745382,TWR_170
2026-09-13 18:00:00,9876542018,9876558434,150,864928046075395,404450756783995,TWR_926
2026-09-13 16:04:00,9876579329,9876511025,288,864928042737893,404450244193987,TWR_370
2026-09-13 11:29:00,9876524029,9876582512,84,864928044533779,404450870530217,TWR_451
2026-09-13 12:14:00,9876593130,9876544600,263,864928041852264,404450199104722,TWR_749
2026-09-13 14:06:00,9876546265,9876515778,6,864928043194789,404450784095277,TWR_368
2026-09-13 11:52:00,9876567912,9876582309,223,864928042876932,404450180792472,TWR_807
2026-09-13 18:12:00,9876529536,9876581511,23,864928043484601,404450561479973,TWR_230
2026-09-13 10:51:00,9876550404,9876557795,25,864928044524499,404450832363533,TWR_355
2026-09-13 16:11:00,9876523473,9876556357,291,864928047817881,404450766430218,TWR_867
2026-09-13 11:49:00,9876541029,9876531299,95,864928041415846,404450292587044,TWR_854
2026-09-13 18:23:00,9876553540,9876563964,132,864928042813543,404450510751046,TWR_993
2026-09-13 10:49:00,9876571694,9876539154,107,864928048722606,404450475442872,TWR_412
2026-09-13 17:30:00,9876539831,9876539219,17,864928047685149,404450452468587,TWR_385
2026-09-13 17:52:00,9876519099,9876546585,184,864928047705490,404450829627019,TWR_963
2026-09-13 15:04:00,9876553404,9876513617,64,864928045382463,404450291735734,TWR_694
2026-09-13 12:45:00,9876515014,9876524208,227,864928046262632,404450568574364,TWR_720
2026-09-13 14:51:00,9876525157,9876560488,300,864928041744682,404450861052404,TWR_546
2026-09-13 10:30:00,9876578146,9876580575,105,864928042173965,404450813219781,TWR_438
2026-09-13 15:49:00,9876551145,9876596951,68,864928046038571,404450644518647,TWR_416
2026-09-13 16:11:00,9876563528,9876552753,211,864928043135534,404450305986733,TWR_530
